	exact_age	length_of_residence	num_adults	gender	hh_marital_status	dwell_type	urban_rural_flag	flag_pres_kids_true	age_range
43925	32.0	11.0	2.0	0	0	2	1	0	35.5
43926	37.0	10.0	1.0	1	0	1	1	1	35.5
43927	20.0	11.0	2.0	1	0	1	1	0	15.5
43928	36.0	11.0	2.0	0	0	1	1	0	35.5
43929	62.0	1.0	2.0	1	0	1	1	1	65.5
43930	49.0	11.0	2.0	0	0	1	1	0	45.5
43931	69.0	2.0	2.0	0	0	1	1	0	65.5
43932	31.0	2.0	1.0	0	1	1	0	0	35.5
43933	70.0	2.0	1.0	0	1	2	1	0	65.5
43934	41.0	10.0	1.0	0	1	1	0	0	45.5
43935	50.0	0.0	1.0	0	0	2	1	0	45.5
43936	32.0	2.0	2.0	1	0	1	1	0	35.5
43937	58.0	18.0	5.0	0	0	1	1	0	55.5
43938	47.0	11.0	2.0	0	0	1	1	0	45.5
43939	49.0	11.0	2.0	0	0	1	1	0	45.5
43940	25.0	5.0	7.0	0	0	1	1	0	25.5
43941	49.0	11.0	2.0	0	0	1	1	0	45.5
43942	68.0	2.0	1.0	1	1	2	1	1	65.5
43943	52.0	11.0	2.0	1	0	2	1	0	55.5
43944	50.0	20.0	3.0	0	0	1	0	1	45.5
43945	52.0	15.0	2.0	0	0	1	1	1	55.5
43946	40.0	15.0	1.0	0	1	3	1	0	35.5
43947	51.0	15.0	4.0	0	0	1	1	1	55.5
43948	51.0	16.0	4.0	0	0	1	1	0	55.5
43949	69.0	14.0	2.0	0	0	1	0	1	65.5
43950	52.0	11.0	2.0	1	0	1	1	0	55.5
43951	70.0	1.0	1.0	1	1	1	1	0	65.5
43952	49.0	11.0	2.0	0	0	1	1	0	45.5
43953	41.0	9.0	2.0	0	1	1	1	1	45.5
43954	49.0	11.0	2.0	0	0	1	1	0	45.5
43955	66.0	20.0	6.0	1	0	1	1	0	65.5
43956	39.0	13.0	1.0	0	1	1	1	0	35.5
43957	51.0	9.0	2.0	0	0	1	1	1	55.5
43958	55.0	6.0	1.0	0	0	2	1	0	55.5
43959	52.0	13.0	2.0	0	0	0	0	0	55.5
43960	49.0	11.0	2.0	0	0	0	1	0	45.5
43961	25.0	4.0	2.0	0	0	2	1	0	25.5
43962	72.0	26.0	3.0	0	0	1	1	1	75.5
43963	43.0	40.0	4.0	0	0	1	1	0	45.5
43964	60.0	15.0	2.0	0	0	1	1	0	55.5
43965	52.0	21.0	8.0	0	0	1	1	1	55.5
43966	37.0	36.0	5.0	0	0	1	1	0	35.5
43967	40.0	7.0	3.0	1	0	1	1	1	35.5
43968	86.0	9.0	1.0	0	1	1	1	1	85.5
43969	57.0	8.0	4.0	0	0	1	1	1	55.5
43970	35.0	10.0	1.0	1	1	1	1	0	35.5
43971	69.0	5.0	1.0	1	1	1	1	0	65.5
43972	31.0	5.0	1.0	1	1	1	1	0	35.5
43973	55.0	39.0	3.0	0	0	1	1	0	55.5
43974	68.0	21.0	5.0	1	0	1	1	1	65.5
43975	26.0	18.0	4.0	0	0	0	0	0	25.5
43976	47.0	7.0	2.0	1	1	1	0	0	45.5
43977	43.0	8.0	1.0	1	0	3	1	1	45.5
43978	59.0	1.0	1.0	0	0	1	1	1	55.5
43979	59.0	18.0	1.0	0	1	1	1	1	55.5
43980	50.0	7.0	2.0	0	0	1	1	0	45.5
43981	54.0	1.0	3.0	0	0	1	0	1	55.5
43982	33.0	6.0	2.0	0	0	1	1	0	35.5
43983	37.0	6.0	1.0	0	1	2	1	0	35.5
43984	42.0	5.0	1.0	0	1	1	1	1	45.5
43985	45.0	4.0	2.0	0	0	1	1	1	45.5
43986	39.0	5.0	3.0	0	0	1	1	1	35.5
43987	54.0	8.0	3.0	0	0	1	1	1	55.5
43988	31.0	5.0	1.0	0	0	3	1	1	35.5
43989	55.0	1.0	1.0	0	1	3	1	0	55.5
43990	42.0	11.0	2.0	1	0	3	1	0	45.5
43991	35.0	5.0	3.0	0	0	1	1	0	35.5
43992	34.0	4.0	1.0	1	1	1	1	0	35.5
43993	52.0	5.0	1.0	0	1	1	0	1	55.5
43994	57.0	12.0	1.0	0	1	1	0	0	55.5
43995	66.0	19.0	3.0	1	0	1	1	0	65.5
43996	34.0	0.0	1.0	0	1	2	1	0	35.5
43997	48.0	7.0	3.0	0	0	1	1	1	45.5
43998	46.0	5.0	1.0	1	1	1	1	0	45.5
43999	45.0	5.0	1.0	1	1	1	1	0	45.5
44000	70.0	4.0	3.0	1	1	1	1	1	65.5
44001	89.0	3.0	1.0	1	0	3	1	0	85.5
44002	23.0	15.0	5.0	0	1	1	1	1	25.5
44003	33.0	3.0	1.0	0	1	1	1	1	35.5
44004	46.0	11.0	2.0	1	1	1	1	1	45.5
44005	42.0	13.0	1.0	0	1	1	1	0	45.5
44006	81.0	3.0	1.0	0	1	1	1	0	85.5
44007	73.0	8.0	1.0	1	1	1	1	0	75.5
44008	32.0	4.0	2.0	1	0	1	0	0	35.5
44009	54.0	3.0	5.0	1	0	1	1	1	55.5
44010	44.0	4.0	2.0	1	0	1	1	0	45.5
44011	61.0	14.0	7.0	1	1	1	1	1	65.5
44012	27.0	2.0	1.0	0	1	1	1	1	25.5
44013	49.0	2.0	3.0	1	0	1	1	0	45.5
44014	52.0	1.0	2.0	0	1	1	1	1	55.5
44015	57.0	1.0	1.0	1	0	1	1	1	55.5
44016	67.0	0.0	2.0	0	0	1	1	0	65.5
44017	53.0	1.0	2.0	1	0	1	1	1	55.5
44018	56.0	7.0	3.0	1	0	1	1	0	55.5
44019	35.0	0.0	2.0	0	1	1	1	1	35.5
44020	54.0	8.0	1.0	1	1	3	1	0	55.5
44021	54.0	11.0	2.0	1	1	1	1	1	55.5
44022	66.0	11.0	4.0	1	0	2	1	0	65.5
44023	57.0	27.0	3.0	0	0	1	1	1	55.5
44024	61.0	1.0	1.0	0	1	1	1	0	65.5
44025	59.0	23.0	4.0	1	0	1	1	1	55.5
44026	58.0	26.0	4.0	0	0	1	1	0	55.5
44027	71.0	11.0	2.0	0	0	3	1	0	75.5
44028	41.0	47.0	2.0	1	0	1	1	1	45.5
44029	56.0	11.0	1.0	0	1	1	1	0	55.5
44030	48.0	23.0	3.0	1	0	1	1	1	45.5
44031	34.0	11.0	1.0	0	0	1	1	1	35.5
44032	50.0	16.0	2.0	0	0	1	1	0	45.5
44033	65.0	22.0	1.0	0	1	1	1	0	65.5
44034	59.0	11.0	2.0	0	0	1	1	0	55.5
44035	44.0	1.0	3.0	1	0	1	1	0	45.5
44036	49.0	11.0	2.0	0	0	1	1	0	45.5
44037	49.0	11.0	2.0	0	0	1	1	0	45.5
44038	33.0	25.0	2.0	0	0	1	1	0	35.5
44039	65.0	25.0	4.0	0	0	1	1	0	65.5
44040	25.0	11.0	2.0	1	0	1	1	0	25.5
44041	33.0	0.0	1.0	1	1	1	1	0	35.5
44042	52.0	11.0	2.0	1	0	1	0	0	55.5
44043	49.0	34.0	4.0	0	0	1	1	0	45.5
44044	56.0	2.0	3.0	0	0	1	1	0	55.5
44045	51.0	24.0	3.0	1	0	1	1	0	55.5
44046	58.0	30.0	4.0	0	0	1	1	0	55.5
44047	38.0	14.0	3.0	1	1	1	0	1	35.5
44048	49.0	11.0	2.0	0	0	1	1	0	45.5
44049	49.0	11.0	2.0	0	0	1	1	0	45.5
44050	40.0	6.0	3.0	1	0	1	1	0	35.5
44051	43.0	11.0	3.0	1	0	1	0	1	45.5
44052	46.0	15.0	3.0	0	0	1	1	1	45.5
44053	19.0	12.0	4.0	1	0	1	1	0	15.5
44054	64.0	23.0	4.0	1	0	1	1	1	65.5
44055	49.0	11.0	2.0	0	0	1	1	0	45.5
44056	34.0	23.0	5.0	0	0	1	1	0	35.5
44057	30.0	11.0	2.0	0	0	1	1	0	25.5
44058	49.0	11.0	2.0	0	0	1	1	0	45.5
44059	58.0	10.0	3.0	0	0	0	1	0	55.5
44060	66.0	6.0	1.0	0	1	1	1	0	65.5
44061	66.0	8.0	4.0	1	0	1	1	0	65.5
44062	56.0	10.0	2.0	0	0	1	1	0	55.5
44063	48.0	3.0	1.0	1	1	2	1	0	45.5
44064	74.0	43.0	2.0	0	0	1	1	0	75.5
44065	52.0	11.0	2.0	1	0	1	1	0	55.5
44066	20.0	9.0	3.0	0	0	1	1	0	15.5
44067	74.0	10.0	3.0	0	0	2	1	0	75.5
44068	62.0	15.0	3.0	0	0	1	0	0	65.5
44069	66.0	4.0	2.0	1	0	1	0	0	65.5
44070	39.0	13.0	3.0	0	0	1	1	1	35.5
44071	65.0	22.0	5.0	0	0	1	1	1	65.5
44072	49.0	11.0	2.0	0	0	1	0	0	45.5
44073	51.0	17.0	2.0	0	0	1	1	1	55.5
44074	21.0	1.0	3.0	1	0	2	0	0	25.5
44075	28.0	2.0	1.0	1	1	2	1	0	25.5
44076	32.0	4.0	1.0	0	1	1	1	0	35.5
44077	35.0	11.0	2.0	0	0	1	1	0	35.5
44078	66.0	6.0	3.0	0	0	1	0	0	65.5
44079	37.0	11.0	2.0	1	0	1	1	0	35.5
44080	44.0	15.0	2.0	0	0	1	0	1	45.5
44081	61.0	29.0	3.0	0	0	1	1	1	65.5
44082	79.0	10.0	2.0	0	0	1	1	0	75.5
44083	21.0	23.0	7.0	0	0	1	1	1	25.5
44084	52.0	11.0	5.0	1	0	1	1	1	55.5
44085	64.0	8.0	3.0	0	0	1	1	0	65.5
44086	72.0	10.0	3.0	1	0	1	1	0	75.5
44087	60.0	23.0	5.0	0	0	1	1	1	55.5
44088	60.0	30.0	4.0	1	0	1	1	1	55.5
44089	52.0	11.0	2.0	1	0	1	1	0	55.5
44090	53.0	15.0	4.0	1	0	1	1	1	55.5
44091	35.0	15.0	2.0	0	0	1	1	1	35.5
44092	49.0	11.0	2.0	0	0	1	1	0	45.5
44093	47.0	12.0	2.0	1	0	1	1	1	45.5
44094	30.0	11.0	2.0	0	0	3	1	0	25.5
44095	32.0	14.0	5.0	0	0	1	0	0	35.5
44096	27.0	0.0	2.0	0	0	1	1	0	25.5
44097	53.0	10.0	2.0	0	0	1	1	1	55.5
44098	48.0	15.0	2.0	1	0	1	1	1	45.5
44099	67.0	11.0	2.0	1	0	1	0	0	65.5
44100	71.0	6.0	3.0	0	0	1	1	0	75.5
44101	33.0	5.0	1.0	1	1	1	1	0	35.5
44102	70.0	6.0	2.0	1	0	1	0	1	65.5
44103	62.0	6.0	1.0	0	1	1	0	1	65.5
44104	62.0	8.0	1.0	0	1	1	1	1	65.5
44105	55.0	20.0	3.0	0	0	1	1	1	55.5
44106	53.0	6.0	1.0	1	1	1	1	0	55.5
44107	64.0	18.0	3.0	0	0	1	1	1	65.5
44108	62.0	6.0	2.0	1	0	1	1	0	65.5
44109	69.0	15.0	1.0	1	1	3	1	0	65.5
44110	67.0	6.0	1.0	0	1	1	1	0	65.5
44111	45.0	6.0	1.0	0	1	1	1	1	45.5
44112	38.0	5.0	1.0	1	0	1	1	1	35.5
44113	57.0	18.0	3.0	0	0	1	1	1	55.5
44114	54.0	8.0	2.0	0	0	1	1	1	55.5
44115	58.0	5.0	2.0	0	0	1	0	0	55.5
44116	65.0	4.0	1.0	0	1	1	1	0	65.5
44117	39.0	4.0	2.0	1	0	1	1	0	35.5
44118	55.0	9.0	1.0	0	1	1	0	1	55.5
44119	33.0	4.0	1.0	0	1	1	1	0	35.5
44120	47.0	4.0	1.0	0	1	1	1	0	45.5
44121	45.0	4.0	1.0	0	1	3	1	0	45.5
44122	51.0	9.0	2.0	0	0	1	1	1	55.5
44123	70.0	17.0	3.0	1	0	1	1	1	65.5
44124	49.0	9.0	3.0	0	0	1	1	1	45.5
44125	58.0	25.0	3.0	0	0	1	1	0	55.5
44126	47.0	17.0	1.0	0	1	1	1	0	45.5
44127	26.0	24.0	5.0	1	1	1	1	1	25.5
44128	27.0	17.0	4.0	0	1	1	1	0	25.5
44129	23.0	16.0	6.0	1	1	1	1	1	25.5
44130	49.0	11.0	4.0	1	0	1	1	1	45.5
44131	24.0	24.0	5.0	1	1	1	1	0	25.5
44132	27.0	37.0	4.0	0	1	1	1	1	25.5
44133	22.0	4.0	2.0	0	1	1	1	0	25.5
44134	72.0	3.0	3.0	1	0	1	1	1	75.5
44135	35.0	3.0	3.0	1	0	1	1	1	35.5
44136	36.0	5.0	1.0	1	1	1	1	0	35.5
44137	36.0	3.0	1.0	0	1	2	1	1	35.5
44138	49.0	2.0	2.0	0	1	1	1	0	45.5
44139	70.0	14.0	1.0	0	1	1	1	0	65.5
44140	56.0	1.0	1.0	0	1	1	1	0	55.5
